--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:28:49 2023
--------------------------------------------------------------------------------

{'pid': 2624, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 3.58984375}
{'pid': 2720, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 16.671875}
{'pid': 2768, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.88671875}
{'pid': 2788, 'name': 'svchost.exe', 'username': 'DC2\\ashinde05', 'vms': 9.7109375}
{'pid': 2816, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 10.546875}
{'pid': 2848, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.7578125}
{'pid': 2912, 'name': 'vmms.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 40.4375}
{'pid': 3008, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 2.3359375}
{'pid': 3028, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.671875}
{'pid': 3064, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 4.19140625}
{'pid': 3088, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.71484375}
{'pid': 3100, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.50390625}
{'pid': 3124, 'name': 'MemCompression', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.0390625}
{'pid': 3144, 'name': 'RuntimeBroker.exe', 'username': 'DC2\\ashinde05', 'vms': 2.62890625}
{'pid': 3160, 'name': 'svchost.exe', 'username': 'DC2\\ashinde05', 'vms': 3.6328125}
{'pid': 3164, 'name': 'conhost.exe', 'username': 'DC2\\ashinde05', 'vms': 1.40625}
{'pid': 3172, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 4.18359375}
{'pid': 3252, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 12.08984375}
{'pid': 3264, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.14453125}
{'pid': 3272, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.94921875}
{'pid': 3364, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.5859375}
{'pid': 3388, 'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 58.37109375}
{'pid': 3416, 'name': 'PresentationFontCache.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 25.4140625}
{'pid': 3488, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.0390625}
{'pid': 3560, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 10.69140625}
{'pid': 3576, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.1328125}
{'pid': 3584, 'name': 'svchost.exe', 'username': 'DC2\\ashinde05', 'vms': 8.33984375}
{'pid': 3792, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 67.03515625}
{'pid': 3856, 'name': 'vmcompute.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.94921875}
{'pid': 3928, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 3.48046875}
{'pid': 3972, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.09375}
{'pid': 3988, 'name': 'wlanext.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.3671875}
{'pid': 4036, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 4.71875}
{'pid': 4040, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.79296875}
{'pid': 4076, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 7.0078125}
{'pid': 4132, 'name': 'taskhostw.exe', 'username': 'DC2\\ashinde05', 'vms': 7.25390625}
{'pid': 4136, 'name': 'spoolsv.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 5.4765625}
{'pid': 4172, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 52.953125}
{'pid': 4192, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 75.00390625}
{'pid': 4220, 'name': 'mDNSResponder.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.8046875}
{'pid': 4232, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.5703125}
{'pid': 4248, 'name': 'armsvc.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.546875}
{'pid': 4288, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.3203125}
{'pid': 4296, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 4.765625}
{'pid': 4304, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 40.60546875}
{'pid': 4356, 'name': 'esif_uf.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.08984375}
{'pid': 4364, 'name': 'OneApp.IGCC.WinService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 36.3359375}
{'pid': 4380, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 22.109375}
{'pid': 4428, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.74609375}
{'pid': 4436, 'name': 'IntelAudioService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 38.0390625}
{'pid': 4584, 'name': 'dwm.exe', 'username': 'Window Manager\\DWM-1', 'vms': 92.25390625}
{'pid': 4592, 'name': 'SentinelServiceHost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 22.69140625}
{'pid': 4600, 'name': 'dcagentservice.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.6171875}
{'pid': 4616, 'name': 'jhi_service.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.34765625}
{'pid': 4640, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.68359375}
{'pid': 4648, 'name': 'FileCoAuth.exe', 'username': 'DC2\\ashinde05', 'vms': 4.38671875}
{'pid': 4712, 'name': 'RuntimeBroker.exe', 'username': 'DC2\\ashinde05', 'vms': 5.734375}
{'pid': 4724, 'name': 'OcsService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.8125}
{'pid': 4732, 'name': 'PanGPS.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 9.6171875}
{'pid': 4760, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.62109375}
{'pid': 4784, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.171875}
{'pid': 4828, 'name': 'RtkAudUService64.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 5.20703125}
{'pid': 4836, 'name': 'TbtP2pShortcutService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.30859375}
{'pid': 4856, 'name': 'SentinelAgent.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 24.0703125}
{'pid': 4872, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.48046875}
{'pid': 4960, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.24609375}
{'pid': 4968, 'name': 'tvnserver.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.26171875}
{'pid': 4976, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.3046875}
{'pid': 5028, 'name': 'WavesAudioService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 12.1953125}
{'pid': 5064, 'name': 'WMIRegistrationService.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.72265625}
{'pid': 5072, 'name': 'WavesSysSvc64.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 11.57421875}
{'pid': 5112, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 17.37109375}
{'pid': 5220, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.3359375}
{'pid': 5268, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 4.15625}
{'pid': 5356, 'name': 'dllhost.exe', 'username': 'DC2\\ashinde05', 'vms': 3.140625}
{'pid': 5372, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 2.59765625}
{'pid': 5380, 'name': 'SearchIndexer.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 23.09765625}
{'pid': 5424, 'name': 'TSVNCache.exe', 'username': 'DC2\\ashinde05', 'vms': 35.31640625}
{'pid': 5812, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.5234375}
{'pid': 5832, 'name': 'WmiPrvSE.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 14.55078125}
{'pid': 5856, 'name': 'dcswmeter.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 5.640625}
{'pid': 5872, 'name': 'StartMenuExperienceHost.exe', 'username': 'DC2\\ashinde05', 'vms': 55.0234375}
{'pid': 5988, 'name': 'RuntimeBroker.exe', 'username': 'DC2\\ashinde05', 'vms': 3.43359375}
{'pid': 6072, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 2.28125}
{'pid': 6112, 'name': 'RuntimeBroker.exe', 'username': 'DC2\\ashinde05', 'vms': 2.52734375}
{'pid': 6136, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.296875}
{'pid': 6184, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.09765625}
