--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:23:07 2023
--------------------------------------------------------------------------------

{'pid': 2608, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 3.265625}
{'pid': 2624, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 3.53125}
{'pid': 2720, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 17.0}
{'pid': 2768, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.83203125}
{'pid': 2788, 'username': 'DC2\\ashinde05', 'name': 'svchost.exe', 'vms': 9.6484375}
{'pid': 2816, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 10.41796875}
{'pid': 2848, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 6.36328125}
{'pid': 2912, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'vmms.exe', 'vms': 40.5}
{'pid': 3008, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 2.34765625}
{'pid': 3028, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 3.609375}
{'pid': 3064, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 4.0703125}
{'pid': 3088, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.71875}
{'pid': 3100, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.4375}
{'pid': 3124, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'MemCompression', 'vms': 0.0390625}
{'pid': 3144, 'username': 'DC2\\ashinde05', 'name': 'RuntimeBroker.exe', 'vms': 2.62890625}
{'pid': 3160, 'username': 'DC2\\ashinde05', 'name': 'svchost.exe', 'vms': 3.6875}
{'pid': 3164, 'username': 'DC2\\ashinde05', 'name': 'conhost.exe', 'vms': 1.40625}
{'pid': 3172, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 4.18359375}
{'pid': 3252, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 12.05078125}
{'pid': 3264, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.078125}
{'pid': 3272, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.8828125}
{'pid': 3364, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.53125}
{'pid': 3388, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'vms': 58.37109375}
{'pid': 3416, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'PresentationFontCache.exe', 'vms': 25.4140625}
{'pid': 3488, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.97265625}
{'pid': 3560, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 10.69140625}
{'pid': 3576, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 3.06640625}
{'pid': 3584, 'username': 'DC2\\ashinde05', 'name': 'svchost.exe', 'vms': 8.28515625}
{'pid': 3792, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 67.03515625}
{'pid': 3856, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'vmcompute.exe', 'vms': 1.94921875}
{'pid': 3928, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 3.58203125}
{'pid': 3972, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe', 'vms': 6.09375}
{'pid': 3988, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'wlanext.exe', 'vms': 1.3671875}
{'pid': 4036, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 4.71875}
{'pid': 4040, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.79296875}
{'pid': 4076, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 6.8046875}
{'pid': 4132, 'username': 'DC2\\ashinde05', 'name': 'taskhostw.exe', 'vms': 7.25390625}
{'pid': 4136, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'spoolsv.exe', 'vms': 5.6484375}
{'pid': 4172, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 54.04296875}
{'pid': 4192, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 74.86328125}
{'pid': 4220, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'mDNSResponder.exe', 'vms': 2.8046875}
{'pid': 4232, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.50390625}
{'pid': 4248, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'armsvc.exe', 'vms': 1.546875}
{'pid': 4288, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.2578125}
{'pid': 4296, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 4.8984375}
{'pid': 4304, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 39.8515625}
{'pid': 4356, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'esif_uf.exe', 'vms': 2.08984375}
{'pid': 4364, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'OneApp.IGCC.WinService.exe', 'vms': 36.3359375}
{'pid': 4380, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 22.0078125}
{'pid': 4428, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.74609375}
{'pid': 4436, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'IntelAudioService.exe', 'vms': 38.0390625}
{'pid': 4584, 'username': 'Window Manager\\DWM-1', 'name': 'dwm.exe', 'vms': 98.83984375}
{'pid': 4592, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SentinelServiceHost.exe', 'vms': 22.65234375}
{'pid': 4600, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'dcagentservice.exe', 'vms': 2.4765625}
{'pid': 4616, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'jhi_service.exe', 'vms': 1.34765625}
{'pid': 4640, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.609375}
{'pid': 4648, 'username': 'DC2\\ashinde05', 'name': 'FileCoAuth.exe', 'vms': 4.47265625}
{'pid': 4712, 'username': 'DC2\\ashinde05', 'name': 'RuntimeBroker.exe', 'vms': 5.734375}
{'pid': 4724, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'OcsService.exe', 'vms': 3.30859375}
{'pid': 4732, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'PanGPS.exe', 'vms': 9.6171875}
{'pid': 4760, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.5546875}
{'pid': 4784, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 2.171875}
{'pid': 4828, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'RtkAudUService64.exe', 'vms': 5.20703125}
{'pid': 4836, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'TbtP2pShortcutService.exe', 'vms': 1.30859375}
{'pid': 4856, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SentinelAgent.exe', 'vms': 24.00390625}
{'pid': 4872, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.546875}
{'pid': 4960, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 3.24609375}
{'pid': 4968, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'tvnserver.exe', 'vms': 2.26171875}
{'pid': 4976, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.3046875}
{'pid': 5028, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WavesAudioService.exe', 'vms': 12.1953125}
{'pid': 5064, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WMIRegistrationService.exe', 'vms': 2.72265625}
{'pid': 5072, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WavesSysSvc64.exe', 'vms': 11.57421875}
{'pid': 5112, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 17.3671875}
{'pid': 5220, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.26953125}
{'pid': 5268, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 4.08984375}
{'pid': 5356, 'username': 'DC2\\ashinde05', 'name': 'dllhost.exe', 'vms': 3.140625}
{'pid': 5372, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 2.71484375}
{'pid': 5380, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SearchIndexer.exe', 'vms': 23.89453125}
{'pid': 5424, 'username': 'DC2\\ashinde05', 'name': 'TSVNCache.exe', 'vms': 35.31640625}
{'pid': 5664, 'username': 'DC2\\ashinde05', 'name': 'smartscreen.exe', 'vms': 8.01171875}
{'pid': 5812, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.45703125}
{'pid': 5832, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'WmiPrvSE.exe', 'vms': 14.34765625}
{'pid': 5856, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'dcswmeter.exe', 'vms': 5.578125}
{'pid': 5872, 'username': 'DC2\\ashinde05', 'name': 'StartMenuExperienceHost.exe', 'vms': 55.0234375}
{'pid': 5988, 'username': 'DC2\\ashinde05', 'name': 'RuntimeBroker.exe', 'vms': 3.43359375}
{'pid': 6012, 'username': 'DC2\\ashinde05', 'name': 'py.exe', 'vms': 1.3203125}
{'pid': 6072, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 2.21875}
{'pid': 6112, 'username': 'DC2\\ashinde05', 'name': 'RuntimeBroker.exe', 'vms': 2.4921875}
{'pid': 6136, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.23046875}
{'pid': 6184, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe', 'vms': 6.09765625}
{'pid': 6464, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 2.16015625}
{'pid': 6512, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WmiPrvSE.exe', 'vms': 36.84375}
{'pid': 6620, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'RtkAudUService64.exe', 'vms': 3.83984375}
{'pid': 6860, 'username': 'DC2\\ashinde05', 'name': 'sublime_text.exe', 'vms': 93.09765625}
{'pid': 6904, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 47.1484375}
{'pid': 6916, 'username': 'DC2\\ashinde05', 'name': 'ctfmon.exe', 'vms': 4.3671875}
{'pid': 7080, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 3.8203125}
{'pid': 7184, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.28125}
{'pid': 7384, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 6.51953125}
{'pid': 7396, 'username': 'DC2\\ashinde05', 'name': 'SystemSettings.exe', 'vms': 55.1328125}
{'pid': 7432, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 194.3515625}
{'pid': 7588, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 11.390625}
{'pid': 7592, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe', 'vms': 6.58984375}
{'pid': 7608, 'username': 'DC2\\ashinde05', 'name': 'python.exe', 'vms': 14.80859375}
{'pid': 7612, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.84375}
{'pid': 7692, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Dell.TechHub.Analytics.SubAgent.exe', 'vms': 56.6953125}
{'pid': 7816, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'DDVRulesProcessor.exe', 'vms': 6.18359375}
{'pid': 8012, 'username': 'DC2\\ashinde05', 'name': 'explorer.exe', 'vms': 259.08984375}
{'pid': 8052, 'username': 'DC2\\ashinde05', 'name': 'cmd.exe', 'vms': 3.296875}
{'pid': 8200, 'username': 'DC2\\ashinde05', 'name': 'SearchApp.exe', 'vms': 183.87109375}
{'pid': 8260, 'username': 'DC2\\ashinde05', 'name': 'PanGPA.exe', 'vms': 4.703125}
{'pid': 8336, 'username': 'DC2\\ashinde05', 'name': 'SearchApp.exe', 'vms': 157.23828125}
{'pid': 8344, 'username': 'DC2\\ashinde05', 'name': 'RuntimeBroker.exe', 'vms': 8.27734375}
{'pid': 8480, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 53.921875}
{'pid': 8548, 'username': 'DC2\\ashinde05', 'name': 'SkypeApp.exe', 'vms': 48.30859375}
{'pid': 8596, 'username': 'DC2\\ashinde05', 'name': 'SkypeBackgroundHost.exe', 'vms': 2.04296875}
{'pid': 8764, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Dell.TechHub.exe', 'vms': 40.953125}
{'pid': 8800, 'username': 'DC2\\ashinde05', 'name': 'SentinelUI.exe', 'vms': 23.2734375}
{'pid': 8924, 'username': 'DC2\\ashinde05', 'name': 'CompPkgSrv.exe', 'vms': 1.61328125}
{'pid': 8952, 'username': 'DC2\\ashinde05', 'name': 'RuntimeBroker.exe', 'vms': 4.21484375}
{'pid': 9016, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.73828125}
{'pid': 9036, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 31.24609375}
{'pid': 9060, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 39.2265625}
{'pid': 9108, 'username': 'DC2\\ashinde05', 'name': 'UserOOBEBroker.exe', 'vms': 2.2890625}
{'pid': 9116, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 18.6484375}
{'pid': 9268, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 32.91015625}
{'pid': 9388, 'username': 'DC2\\ashinde05', 'name': 'Microsoft.Photos.exe', 'vms': 62.28515625}
{'pid': 9420, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'unsecapp.exe', 'vms': 1.5546875}
{'pid': 9432, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 189.359375}
{'pid': 9524, 'username': 'DC2\\ashinde05', 'name': 'TextInputHost.exe', 'vms': 44.5390625}
{'pid': 9540, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 56.796875}
{'pid': 9628, 'username': 'DC2\\ashinde05', 'name': 'OneDrive.exe', 'vms': 75.2578125}
{'pid': 9688, 'username': 'DC2\\ashinde05', 'name': 'SecurityHealthSystray.exe', 'vms': 1.84765625}
{'pid': 9720, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SecurityHealthService.exe', 'vms': 4.61328125}
{'pid': 9844, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 24.06640625}
{'pid': 9848, 'username': 'DC2\\ashinde05', 'name': 'tvnserver.exe', 'vms': 1.57421875}
{'pid': 9856, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe', 'vms': 6.53515625}
{'pid': 9864, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 9.85546875}
{'pid': 9896, 'username': 'DC2\\ashinde05', 'name': 'RtkAudUService64.exe', 'vms': 3.3828125}
{'pid': 9908, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 3.25390625}
{'pid': 9968, 'username': 'DC2\\ashinde05', 'name': 'WavesSvc64.exe', 'vms': 212.5703125}
{'pid': 9984, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 206.95703125}
{'pid': 10272, 'username': 'DC2\\ashinde05', 'name': 'python.exe', 'vms': 7.06640625}
{'pid': 10404, 'username': 'DC2\\ashinde05', 'name': 'SentinelBrowserNativeHost.exe', 'vms': 3.55078125}
{'pid': 10508, 'username': 'DC2\\ashinde05', 'name': 'WebexHost.exe', 'vms': 9.79296875}
{'pid': 10544, 'username': 'DC2\\ashinde05', 'name': 'atmgr.exe', 'vms': 73.04296875}
{'pid': 10632, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 214.77734375}
{'pid': 10664, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 6.7890625}
{'pid': 10872, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 385.11328125}
{'pid': 10880, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 39.5078125}
{'pid': 10908, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 15.58203125}
{'pid': 11120, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 25.06640625}
{'pid': 11236, 'username': 'DC2\\ashinde05', 'name': 'cmd.exe', 'vms': 2.0703125}
{'pid': 11248, 'username': 'DC2\\ashinde05', 'name': 'conhost.exe', 'vms': 6.55859375}
