--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:25:27 2023
--------------------------------------------------------------------------------

{'name': 'svchost.exe', 'pid': 2720, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 16.57421875}
{'name': 'svchost.exe', 'pid': 2768, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.83203125}
{'name': 'svchost.exe', 'pid': 2788, 'username': 'DC2\\ashinde05', 'vms': 9.6171875}
{'name': 'svchost.exe', 'pid': 2816, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 10.7265625}
{'name': 'svchost.exe', 'pid': 2848, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.296875}
{'name': 'vmms.exe', 'pid': 2912, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 40.5}
{'name': 'svchost.exe', 'pid': 3008, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 2.31640625}
{'name': 'svchost.exe', 'pid': 3028, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.609375}
{'name': 'svchost.exe', 'pid': 3064, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.9921875}
{'name': 'svchost.exe', 'pid': 3088, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.71875}
{'name': 'svchost.exe', 'pid': 3100, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.4375}
{'name': 'MemCompression', 'pid': 3124, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.0390625}
{'name': 'RuntimeBroker.exe', 'pid': 3144, 'username': 'DC2\\ashinde05', 'vms': 2.62890625}
{'name': 'svchost.exe', 'pid': 3160, 'username': 'DC2\\ashinde05', 'vms': 3.58203125}
{'name': 'conhost.exe', 'pid': 3164, 'username': 'DC2\\ashinde05', 'vms': 1.40625}
{'name': 'svchost.exe', 'pid': 3172, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 4.24609375}
{'name': 'Code.exe', 'pid': 3252, 'username': 'DC2\\ashinde05', 'vms': 12.03125}
{'name': 'svchost.exe', 'pid': 3264, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.078125}
{'name': 'svchost.exe', 'pid': 3272, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.8828125}
